make,model,fuel,kms,power,shift,price,location,codigopostalid,provincia,poblacion
Opel,Crossland,Gasolina,5.0,110.0,manual,22900,Pineda de Mar,8397,Barcelona,Pineda de Mar
Opel,Crossland,Gasolina,24847.0,110.0,manual,19990,Coslada,28823,Madrid,Coslada
Opel,Crossland,Diésel,41356.0,120.0,automatic,18590,Madrid,28021,Madrid,Madrid
Opel,Crossland,Gasolina,11.0,110.0,manual,22700,Sabadell,8201,Barcelona,Sabadell
Opel,Crossland,Gasolina,11.0,110.0,manual,22700,Mollet del Vallès,8100,Barcelona,Mollet del Vallès
Opel,Crossland,Gasolina,51390.0,110.0,manual,18200,Málaga,29006,Málaga,Málaga
Opel,Crossland,Gasolina,30536.0,110.0,manual,17100,Málaga,29006,Málaga,Málaga
Opel,Crossland,Gasolina,10.0,130.0,manual,23800,Badalona,8912,Barcelona,Badalona
Opel,Crossland,Gasolina,16.0,130.0,manual,22975,Sant Boi de Llobregat,8830,Barcelona,Sant Boi de Llobregat
Opel,Crossland,Gasolina,40816.0,83.0,manual,13490,Almería,4006,Almería,Almería
Opel,Crossland,Gasolina,40816.0,83.0,manual,13490,Málaga,29005,Málaga,Málaga
Opel,Crossland,Gasolina,34500.0,83.0,manual,14490,Vigo,36211,Pontevedra,Vigo
Opel,Combo,Diésel,44084.0,100.0,manual,16990,Salamanca,37008,Salamanca,Salamanca
Opel,Combo,Diésel,44084.0,100.0,manual,16990,Salamanca,37008,Salamanca,Salamanca
Opel,Combo,Diésel,44084.0,100.0,manual,16990,Valencia,46001,Valencia,Valencia
Opel,Combo,Diésel,44084.0,100.0,manual,16990,Cáceres,10001,Cáceres,Cáceres
Opel,Combo,Diésel,51872.0,102.0,manual,25990,Barcelona,8007,Barcelona,Barcelona
Opel,Combo,Diésel,37100.0,100.0,manual,10490,Camarma de Esteruelas,28816,Madrid,Camarma de Esteruelas
Opel,Combo,Diésel,37100.0,100.0,manual,10490,Camarma de Esteruelas,28816,Madrid,Camarma de Esteruelas
Opel,Combo,Diésel,37100.0,100.0,manual,10490,Colonia Pablo Iglesias,28520,Madrid,Colonia Pablo Iglesias
Opel,Combo,Diésel,37100.0,100.0,manual,10490,Villaviciosa de Odón,28670,Madrid,Villaviciosa de Odón
Opel,Combo,Diésel,134752.0,95.0,manual,11990,Girona,17005,Girona,Girona
Opel,Combo,Diésel,105772.0,100.0,manual,16490,Vigo,36211,Pontevedra,Vigo
Opel,Combo,Diésel,105772.0,100.0,manual,16490,Bilbao,48004,Bizkaia,Bilbao
Opel,Combo,Diésel,51087.0,102.0,manual,21900,Sevilla,41006,Sevilla,Sevilla
Opel,Movano,Diésel,2000.0,140.0,manual,29900,Sevilla,41006,Sevilla,Sevilla
Opel,Movano,Diésel,188000.0,170.0,automatic,19900,Orbazai,27297,Lugo,Orbazai
Opel,Movano,Diésel,99995.0,170.0,manual,18700,A Coruña,15001,A Coruña,A Coruña
Opel,Movano,Diésel,85000.0,130.0,manual,26980,Coslada,28823,Madrid,Coslada
Opel,Movano,Diésel,149500.0,110.0,manual,17900,Torrefarrera,25123,Lleida,Torrefarrera
Opel,Movano,Diésel,128000.0,130.0,manual,24450,Coslada,28823,Madrid,Coslada
Opel,Movano,Diésel,130075.0,130.0,manual,17355,Valencia,46002,Valencia,Valencia
Opel,Cabrio,Gasolina,98017.0,140.0,manual,16618,Olèrdola,8734,Barcelona,Olèrdola
Opel,Cabrio,Gasolina,98017.0,140.0,manual,16618,Olèrdola,8734,Barcelona,Olèrdola
Opel,Cabrio,Gasolina,51441.0,140.0,manual,16963,Olèrdola,8734,Barcelona,Olèrdola
Opel,Cabrio,Gasolina,51441.0,140.0,manual,16963,Olèrdola,8734,Barcelona,Olèrdola
Opel,Cabrio,Gasolina,58444.0,140.0,manual,15180,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
